Longitude,Latitude,Start Year
158.03,52.559,2010
-169.944,52.825,2010
145.78,16.58,2010
151.33,-5.05,2010
160.595,55.972,2010
145.8,18.13,2010
139.526,34.094,2010
15.004,37.734,2010
130.862,31.934,2010
-19.633,63.633,2010
141.481,24.285,2010
-83.767,10.025,2010
29.2,-1.408,2010
-78.442,-1.467,2010
160.595,55.972,2009
-85.622,11.538,2009
-71.93,-39.42,2009
-84.233,10.2,2009
130.862,31.934,2009
55.708,-21.244,2009
-169.944,52.825,2009
167.5,-14.27,2009
109.92,-7.2,2009
148.42,-5.525,2009
123.685,13.257,2009
-87.004,12.702,2009
160.642,56.056,2009
40.82,12.17,2009
-169.944,52.825,2009
153.2,48.092,2009
116.47,-8.42,2009
109.208,-7.242,2009
-91.55,-0.37,2009
139.526,34.094,2009
101.264,-1.697,2009
105.423,-6.102,2009
-175.382,-20.536,2009
-152.742,60.485,2009
156.014,50.686,2009
-71.93,-39.42,2009
138.523,36.406,2009
109.92,-7.2,2009
-84.233,10.2,2009
-169.944,52.825,2009
103.13,-4.03,2009
158.712,53.321,2008
125.4,2.78,2008
-87.004,12.702,2008
144.013,43.384,2008
-174.23,-15.37,2008
-173.75,-15.1,2008
40.553,13.793,2008
-76.03,2.93,2008
-71.93,-39.42,2008
-26.483,-57.8,2008
-77.37,1.22,2008
160.642,56.056,2008
55.708,-21.244,2008
165.8,-10.38,2008
130.862,31.934,2008
123.685,13.257,2008
138.523,36.406,2008
-175.508,52.177,2008
-85.622,11.538,2008
155.461,50.324,2008
-77.656,-0.077,2008
150.027,-5.416,2008
-168.13,53.43,2008
160.595,55.972,2008
-86.845,12.602,2008
178.478,-35.745,2008
-87.004,12.702,2008
114.056,-8.119,2008
124.737,1.112,2008
-91.408,-0.92,2008
168.12,-16.25,2008
93.858,12.278,2008
15.004,37.734,2008
139.526,34.094,2008
-72.646,-42.833,2008
-86.161,11.984,2008
122.455,-8.676,2008
127.63,1.488,2008
101.264,-1.697,2008
150.027,-5.416,2008
-159.38,56.17,2008
131.104,32.884,2008
-177.188,-25.887,2008
-84.233,10.2,2008
-26.483,-57.8,2008
139.526,34.094,2008
-76.03,2.93,2008
-71.729,-38.692,2008
100.679,-0.978,2007
145.67,16.35,2007
-85.622,11.538,2007
-87.004,12.702,2007
-86.845,12.602,2007
105.423,-6.102,2007
112.308,-7.93,2007
-77.37,1.22,2007
41.83,15.55,2007
175.57,-39.28,2007
101.264,-1.697,2007
150.516,-5.576,2007
155.461,50.324,2007
-161.894,55.417,2007
40.82,12.17,2007
114.056,-8.119,2007
127.53,1.38,2007
-169.944,52.825,2007
124.737,1.112,2007
35.914,-2.764,2007
-71.729,-38.692,2007
148.115,-5.519,2007
160.595,55.972,2007
151.33,-5.05,2007
168.346,-16.507,2007
157.95,-9.02,2007
137.48,35.893,2007
15.004,37.734,2007
100.679,-0.978,2007
-77.656,-0.077,2007
155.461,50.324,2007
-76.03,2.93,2007
160.642,56.056,2007
-85.622,11.538,2007
123.585,-7.791,2007
43.38,-11.75,2007
124.737,1.112,2006
-177.188,-25.887,2006
-86.845,12.602,2006
145.8,18.13,2006
29.2,-1.408,2006
-174.166,52.381,2006
168.12,-16.25,2006
148.115,-5.519,2006
124.05,12.77,2006
175.57,-39.28,2006
103.13,-4.03,2006
-84.233,10.2,2006
-153.672,58.77,2006
100.679,-0.978,2006
-85.622,11.538,2006
139.526,34.094,2006
152.203,-4.271,2006
148.42,-5.525,2006
-174.775,-18.992,2006
-86.161,11.984,2006
-86.845,12.602,2006
55.708,-21.244,2006
15.004,37.734,2006
123.685,13.257,2006
125.4,2.78,2006
-26.483,-57.8,2006
123.132,10.412,2006
43.38,-11.75,2006
-67.73,-23.37,2006
160.595,55.972,2006
-70.903,-16.355,2006
-84.233,10.2,2006
144.013,43.384,2006
124.05,12.77,2006
145.67,16.35,2006
-177.92,-29.27,2006
110.442,-7.542,2006
73.513,-53.106,2006
-159.38,56.17,2006
151.33,-5.05,2006
123.685,13.257,2006
139.526,34.094,2006
165.8,-10.38,2006
-169.944,52.825,2006
124.737,1.112,2005
124.42,0.75,2005
15.004,37.734,2005
-153.43,59.363,2005
160.595,55.972,2005
167.83,-15.4,2005
43.38,-11.75,2005
-77.37,1.22,2005
-87.004,12.702,2005
168.346,-16.507,2005
-91.17,-0.83,2005
150.027,-5.416,2005
55.708,-21.244,2005
-26.483,-57.8,2005
40.48,12.595,2005
-159.38,56.17,2005
123.685,13.257,2005
-104.3,9.83,2005
-85.622,11.538,2005
72.6,-53.03,2005
141.481,24.285,2005
-89.63,13.853,2005
93.858,12.278,2005
-91.55,-0.37,2005
-67.73,-23.37,2005
148.42,-5.525,2005
124.737,1.112,2005
43.38,-11.75,2005
-62.18,16.72,2005
131.104,32.884,2005
100.679,-0.978,2005
139.526,34.094,2005
151.33,-5.05,2005
-169.944,52.825,2005
155.461,50.324,2005
-86.161,11.984,2005
-177.188,-25.887,2005
-174.166,52.381,2005
55.708,-21.244,2005
122.455,-8.676,2005
168.346,-16.507,2005
156.014,50.686,2005
152.203,-4.271,2005
123.132,10.412,2005
160.642,56.056,2005
-98.622,19.023,2005
